date,negative_words
2020-01-01,0
2020-01-02,13
2020-01-03,7
2020-01-04,0
2020-01-05,0
2020-01-06,0
2020-01-07,0
2020-01-08,0
2020-01-09,0
2020-01-10,0
2020-01-11,0
2020-01-12,6
2020-01-13,0
2020-01-14,0
2020-01-15,7
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,8
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,10
2020-01-24,16
2020-01-25,11
2020-01-26,0
2020-01-27,20
2020-01-28,21
2020-01-29,22
2020-01-30,17
2020-01-31,33
2020-02-01,21
2020-02-02,17
2020-02-03,26
2020-02-04,18
2020-02-05,21
2020-02-06,34
2020-02-07,12
2020-02-08,11
2020-02-09,18
2020-02-10,17
2020-02-11,22
2020-02-12,12
2020-02-13,26
2020-02-14,0
2020-02-15,14
2020-02-16,0
2020-02-17,11
2020-02-18,0
2020-02-19,8
2020-02-20,0
2020-02-21,0
2020-02-22,4
2020-02-23,14
2020-02-24,18
2020-02-25,61
2020-02-26,72
2020-02-27,68
2020-02-28,60
2020-02-29,26
2020-03-01,13
2020-03-02,56
2020-03-03,30
2020-03-04,81
2020-03-05,89
2020-03-06,99
2020-03-07,36
2020-03-08,24
2020-03-09,57
2020-03-10,99
2020-03-11,70
2020-03-12,148
2020-03-13,396
2020-03-14,143
2020-03-15,413
2020-03-16,256
2020-03-17,250
2020-03-18,258
2020-03-19,166
2020-03-20,247
2020-03-21,171
2020-03-22,97
2020-03-23,241
2020-03-24,257
2020-03-25,267
2020-03-26,252
2020-03-27,246
2020-03-28,140
2020-03-29,134
2020-03-30,206
2020-03-31,185
2020-04-01,268
2020-04-02,208
2020-04-03,246
2020-04-04,132
2020-04-05,99
2020-04-06,187
2020-04-07,191
2020-04-08,203
2020-04-09,163
2020-04-10,96
2020-04-11,106
2020-04-12,102
2020-04-13,128
2020-04-14,138
2020-04-15,164
2020-04-16,185
2020-04-17,171
2020-04-18,100
2020-04-19,67
2020-04-20,147
2020-04-21,158
2020-04-22,150
2020-04-23,127
2020-04-24,129
2020-04-25,87
2020-04-26,58
2020-04-27,130
2020-04-28,94
2020-04-29,114
2020-04-30,82
2020-05-01,63
2020-05-02,56
2020-05-03,55
2020-05-04,129
2020-05-05,118
2020-05-06,139
2020-05-07,122
2020-05-08,92
2020-05-09,36
2020-05-10,56
2020-05-11,92
2020-05-12,91
2020-05-13,98
2020-05-14,79
2020-05-15,62
2020-05-16,51
2020-05-17,37
2020-05-18,78
2020-05-19,99
2020-05-20,80
2020-05-21,66
2020-05-22,59
2020-05-23,45
2020-05-24,30
2020-05-25,85
2020-05-26,56
2020-05-27,90
2020-05-28,72
2020-05-29,42
2020-05-30,31
2020-05-31,39
2020-06-01,50
2020-06-02,69
2020-06-03,70
2020-06-04,51
2020-06-05,57
2020-06-06,18
2020-06-07,21
2020-06-08,52
2020-06-09,32
2020-06-10,39
2020-06-11,62
2020-06-12,36
2020-06-13,34
2020-06-14,26
2020-06-15,44
2020-06-16,63
2020-06-17,55
2020-06-18,41
2020-06-19,47
2020-06-20,31
2020-06-21,27
2020-06-22,61
2020-06-23,65
2020-06-24,58
2020-06-25,47
2020-06-26,44
2020-06-27,28
2020-06-28,23
2020-06-29,44
2020-06-30,50
2020-07-01,23
2020-07-02,43
2020-07-03,43
2020-07-04,24
2020-07-05,26
2020-07-06,39
2020-07-07,40
2020-07-08,34
2020-07-09,51
2020-07-10,54
2020-07-11,14
2020-07-12,29
2020-07-13,70
2020-07-14,61
2020-07-15,46
2020-07-16,49
2020-07-17,29
2020-07-18,21
2020-07-19,20
2020-07-20,63
2020-07-21,61
2020-07-22,47
2020-07-23,58
2020-07-24,62
2020-07-25,24
2020-07-26,22
2020-07-27,83
2020-07-28,65
2020-07-29,32
2020-07-30,45
2020-07-31,29
2020-08-01,18
2020-08-02,32
2020-08-03,59
2020-08-04,22
2020-08-05,29
2020-08-06,31
2020-08-07,42
2020-08-08,26
2020-08-09,31
2020-08-10,55
2020-08-11,44
2020-08-12,58
2020-08-13,48
2020-08-14,67
2020-08-15,34
2020-08-16,39
2020-08-17,44
2020-08-18,59
2020-08-19,43
2020-08-20,38
2020-08-21,55
2020-08-22,37
2020-08-23,41
2020-08-24,57
2020-08-25,45
2020-08-26,44
2020-08-27,28
2020-08-28,50
2020-08-29,13
2020-08-30,12
2020-08-31,78
2020-09-01,42
2020-09-02,43
2020-09-03,64
2020-09-04,46
2020-09-05,11
2020-09-06,18
2020-09-07,64
2020-09-08,48
2020-09-09,32
2020-09-10,48
2020-09-11,36
2020-09-12,24
2020-09-13,34
2020-09-14,40
2020-09-15,52
2020-09-16,35
2020-09-17,59
2020-09-18,51
2020-09-19,19
2020-09-20,10
2020-09-21,77
2020-09-22,58
2020-09-23,41
2020-09-24,55
2020-09-25,46
2020-09-26,15
2020-09-27,30
2020-09-28,30
2020-09-29,49
2020-09-30,34
2020-10-01,58
2020-10-02,52
2020-10-03,33
2020-10-04,15
2020-10-05,57
2020-10-06,66
2020-10-07,14
2020-10-08,28
2020-10-09,100
2020-10-10,28
2020-10-11,17
2020-10-12,34
2020-10-13,71
2020-10-14,25
2020-10-15,57
2020-10-16,52
2020-10-17,18
2020-10-18,16
2020-10-19,69
2020-10-20,65
2020-10-21,36
2020-10-22,32
2020-10-23,53
2020-10-24,20
2020-10-25,35
2020-10-26,43
2020-10-27,51
2020-10-28,70
2020-10-29,91
2020-10-30,69
2020-10-31,51
